ID,neighbourhood,date,buildingType,Tenure,Size,pricePsf,Price,Floors,state,area,latitude,longitude
1,KL TRADERS SQUARE RESIDENCES,13/2/2023,SERVICE RESIDENCE,FREEHOLD,918,561,515000,1,kuala-lumpur,setapak,3.1975774,101.7139655
2,KL TRADERS SQUARE RESIDENCES,10/2/2023,SERVICE RESIDENCE,FREEHOLD,842,610,513500,1,kuala-lumpur,setapak,3.1975774,101.7139655
3,KL TRADERS SQUARE RESIDENCES,20/1/2023,SERVICE RESIDENCE,FREEHOLD,842,665,560000,1,kuala-lumpur,setapak,3.1975774,101.7139655
4,KL TRADERS SQUARE RESIDENCES,17/1/2023,SERVICE RESIDENCE,FREEHOLD,842,463,390000,1,kuala-lumpur,setapak,3.1975774,101.7139655
5,KL TRADERS SQUARE RESIDENCES,9/12/2022,SERVICE RESIDENCE,FREEHOLD,842,204,172000,1,kuala-lumpur,setapak,3.1975774,101.7139655
6,KL TRADERS SQUARE RESIDENCES,3/11/2022,SERVICE RESIDENCE,FREEHOLD,842,594,500000,1,kuala-lumpur,setapak,3.1975774,101.7139655
7,KL TRADERS SQUARE RESIDENCES,29/9/2022,SERVICE RESIDENCE,FREEHOLD,918,572,525000,1,kuala-lumpur,setapak,3.1975774,101.7139655
8,KL TRADERS SQUARE RESIDENCES,8/9/2022,SERVICE RESIDENCE,FREEHOLD,918,458,420000,1,kuala-lumpur,setapak,3.1975774,101.7139655
9,KL TRADERS SQUARE RESIDENCES,30/8/2022,SERVICE RESIDENCE,FREEHOLD,918,409,375000,1,kuala-lumpur,setapak,3.1975774,101.7139655
10,KL TRADERS SQUARE RESIDENCES,10/8/2022,SERVICE RESIDENCE,FREEHOLD,842,546,460000,1,kuala-lumpur,setapak,3.1975774,101.7139655
11,KL TRADERS SQUARE RESIDENCES,9/8/2022,SERVICE RESIDENCE,FREEHOLD,842,653,550000,1,kuala-lumpur,setapak,3.1975774,101.7139655
12,KL TRADERS SQUARE RESIDENCES,8/8/2022,SERVICE RESIDENCE,FREEHOLD,918,436,400000,1,kuala-lumpur,setapak,3.1975774,101.7139655
13,KL TRADERS SQUARE RESIDENCES,1/8/2022,SERVICE RESIDENCE,FREEHOLD,842,457,385000,1,kuala-lumpur,setapak,3.1975774,101.7139655
14,KL TRADERS SQUARE RESIDENCES,13/7/2022,SERVICE RESIDENCE,FREEHOLD,842,457,385000,1,kuala-lumpur,setapak,3.1975774,101.7139655
15,KL TRADERS SQUARE RESIDENCES,7/7/2022,SERVICE RESIDENCE,FREEHOLD,842,635,535000,1,kuala-lumpur,setapak,3.1975774,101.7139655
16,KL TRADERS SQUARE RESIDENCES,4/7/2022,SERVICE RESIDENCE,FREEHOLD,918,523,480000,1,kuala-lumpur,setapak,3.1975774,101.7139655
17,KL TRADERS SQUARE RESIDENCES,30/6/2022,SERVICE RESIDENCE,FREEHOLD,918,272,250000,1,kuala-lumpur,setapak,3.1975774,101.7139655
18,KL TRADERS SQUARE RESIDENCES,23/6/2022,SERVICE RESIDENCE,FREEHOLD,1059,522,553000,1,kuala-lumpur,setapak,3.1975774,101.7139655
